Time,Label,Roll,Pitch,Yaw,Roll Rate,Pitch Rate,Yaw Rate
1.068949,talking,70.500000,39.500000,122.100000,0.400000,-0.100000,-0.900000
1.089676,talking,70.500000,39.500000,122.100000,0.600000,-0.700000,-1.000000
1.110532,talking,70.500000,39.500000,122.000000,-0.100000,-0.200000,-1.000000
1.131282,talking,70.500000,39.500000,122.000000,-0.600000,0.500000,-0.700000
1.151981,talking,70.500000,39.500000,121.900000,-0.300000,-0.100000,-0.300000
1.172745,talking,70.500000,39.500000,121.900000,0.200000,-0.100000,-0.200000
1.193407,talking,70.500000,39.500000,121.900000,0.400000,0.500000,-0.400000
1.214279,talking,70.500000,39.500000,121.900000,0.700000,0.500000,-0.300000
1.235064,talking,70.500000,39.500000,121.900000,1.500000,-0.900000,-0.200000
1.255801,talking,70.500000,39.500000,121.900000,1.200000,-0.900000,0.200000
1.276535,talking,70.500000,39.600000,121.800000,0.500000,-0.300000,0.100000
1.297223,talking,70.500000,39.600000,121.800000,-0.300000,0.600000,0.200000
1.318135,talking,70.500000,39.500000,121.900000,-1.100000,1.200000,1.000000
1.338851,talking,70.500000,39.500000,121.900000,-1.500000,0.700000,2.000000
1.386021,talking,70.500000,39.500000,121.900000,-1.300000,-0.100000,3.200000
1.406848,eating,70.500000,39.400000,121.900000,-0.700000,0.200000,3.600000
1.424259,eating,70.500000,39.400000,121.900000,-0.800000,0.800000,2.900000
1.440998,eating,70.500000,39.400000,121.900000,-1.300000,1.800000,2.200000
1.483639,eating,70.500000,39.400000,122.000000,-1.500000,2.200000,2.300000
1.496416,eating,70.500000,39.300000,122.100000,-1.600000,2.400000,2.400000
1.509241,eating,70.600000,39.300000,122.100000,-1.700000,2.500000,2.700000
1.521936,eating,70.600000,39.300000,122.200000,-1.800000,2.700000,3.200000
1.534532,eating,70.600000,39.200000,122.300000,-1.600000,2.300000,3.300000
1.577145,eating,70.600000,39.200000,122.400000,-1.300000,1.900000,2.700000
1.589817,eating,70.600000,39.200000,122.500000,-1.300000,2.300000,1.900000
1.602533,eating,70.600000,39.200000,122.600000,-0.700000,2.900000,2.100000
1.615436,eating,70.600000,39.200000,122.700000,-0.100000,1.800000,1.900000
1.628062,eating,70.600000,39.100000,122.700000,-0.800000,1.300000,1.100000
1.640763,eating,70.600000,39.100000,122.800000,-1.200000,1.800000,0.900000
1.683410,eating,70.600000,39.100000,122.900000,-0.700000,1.300000,0.500000
1.696010,eating,70.700000,39.100000,123.000000,-0.600000,1.600000,0.400000
1.708771,eating,70.700000,39.100000,123.100000,-0.300000,0.900000,0.700000
1.721767,eating,70.700000,39.100000,123.100000,0.100000,-0.700000,1.200000
1.764669,eating,70.600000,39.000000,123.200000,0.300000,-0.800000,0.900000
1.777345,eating,70.600000,39.000000,123.200000,0.100000,-0.000000,0.700000
1.789965,eating,70.600000,39.000000,123.300000,0.400000,-0.500000,0.400000
1.802586,eating,70.600000,39.000000,123.300000,0.100000,-0.400000,0.400000
1.815402,eating,70.600000,39.000000,123.400000,-0.000000,0.300000,0.100000
1.828102,eating,70.600000,39.000000,123.500000,-0.100000,0.800000,-0.100000
1.870833,eating,70.600000,38.900000,123.500000,0.200000,0.100000,0.000000
1.883455,eating,70.600000,38.900000,123.500000,0.500000,-0.400000,0.100000
1.896025,eating,70.700000,38.900000,123.600000,0.200000,-0.000000,0.300000
1.908777,eating,70.700000,38.900000,123.600000,0.500000,-0.300000,0.100000
1.921450,eating,70.700000,38.900000,123.600000,0.400000,0.000000,0.200000
1.964055,eating,70.700000,38.900000,123.700000,0.100000,0.800000,-0.100000
1.976719,eating,70.700000,38.900000,123.700000,-0.500000,1.300000,0.100000
1.989388,eating,70.700000,38.900000,123.800000,-0.800000,1.400000,0.100000
2.002006,eating,70.700000,38.900000,123.800000,-0.700000,1.200000,0.200000
2.014791,eating,70.700000,38.900000,123.900000,-0.500000,1.300000,0.000000
2.057720,eating,70.700000,38.900000,124.000000,-0.700000,2.300000,0.200000
2.070340,eating,70.700000,38.900000,124.000000,-0.600000,1.600000,0.400000
2.082962,eating,70.700000,38.900000,124.000000,0.000000,0.500000,-0.300000
2.095529,eating,70.800000,38.900000,124.000000,0.100000,1.000000,-0.700000
2.108320,eating,70.800000,38.900000,124.000000,0.100000,1.700000,-1.000000
2.151030,eating,70.800000,38.900000,124.000000,0.200000,1.100000,-1.600000
2.163727,eating,70.800000,39.000000,124.000000,0.700000,1.400000,-2.300000
2.176343,eating,70.800000,39.000000,124.000000,1.100000,1.800000,-2.600000
2.188910,eating,70.800000,39.000000,124.000000,2.100000,0.600000,-2.800000
2.201515,eating,70.800000,39.000000,124.000000,3.100000,-0.400000,-3.200000
2.214349,eating,70.800000,39.100000,123.900000,3.500000,-1.100000,-2.800000
2.256979,eating,70.800000,39.100000,123.800000,3.400000,-2.500000,-3.200000
