Time,Label,Roll,Pitch,Yaw,Roll Rate,Pitch Rate,Yaw Rate
1.063689,talking,72.800000,53.800000,-39.800000,0.300000,-2.300000,-1.900000
1.084515,talking,72.700000,53.800000,-39.900000,1.200000,-5.600000,-2.800000
1.105265,talking,72.600000,53.700000,-40.100000,2.100000,-9.100000,-2.600000
1.126109,talking,72.600000,53.700000,-40.200000,2.100000,-7.800000,-0.800000
1.146788,talking,72.600000,53.700000,-40.200000,1.400000,-3.100000,0.900000
1.167589,talking,72.600000,53.700000,-40.200000,-0.300000,1.600000,1.100000
1.188257,talking,72.700000,53.700000,-40.100000,-1.500000,3.800000,0.600000
1.208991,talking,72.700000,53.600000,-40.100000,-0.600000,1.400000,0.700000
1.229892,talking,72.700000,53.600000,-40.100000,1.500000,-2.800000,0.800000
1.250622,talking,72.700000,53.600000,-40.100000,1.700000,-3.100000,0.700000
1.271384,talking,72.700000,53.600000,-40.100000,0.300000,0.600000,0.500000
1.292070,talking,72.800000,53.600000,-40.000000,-0.900000,3.900000,0.100000
1.312935,talking,72.800000,53.600000,-39.900000,-1.300000,4.100000,0.000000
1.333715,talking,72.900000,53.600000,-39.900000,-0.800000,1.600000,-0.200000
1.354369,talking,72.900000,53.600000,-39.900000,-1.200000,-0.000000,-0.500000
1.405529,eating,72.900000,53.600000,-39.900000,-1.400000,-0.200000,-0.700000
1.423056,eating,72.900000,53.600000,-39.900000,-1.300000,-0.400000,-0.500000
1.439877,eating,72.900000,53.500000,-39.900000,-0.800000,-0.100000,0.500000
1.482508,eating,73.000000,53.500000,-39.900000,-0.900000,2.200000,1.600000
1.495195,eating,73.100000,53.500000,-39.800000,-1.900000,5.100000,2.000000
1.508024,eating,73.100000,53.500000,-39.700000,-2.200000,5.500000,1.700000
1.520825,eating,73.200000,53.500000,-39.600000,-2.100000,4.200000,1.600000
1.533428,eating,73.200000,53.400000,-39.500000,-1.800000,2.900000,1.600000
1.546031,eating,73.300000,53.400000,-39.500000,-1.600000,3.000000,1.400000
1.588685,eating,73.400000,53.400000,-39.400000,-1.800000,3.300000,0.800000
1.601313,eating,73.400000,53.400000,-39.400000,-2.200000,3.000000,-0.100000
1.614221,eating,73.400000,53.400000,-39.400000,-1.500000,-0.000000,-1.500000
1.626949,eating,73.300000,53.400000,-39.500000,0.100000,-2.600000,-1.300000
1.639627,eating,73.300000,53.400000,-39.500000,-0.300000,-1.000000,0.300000
1.682273,eating,73.400000,53.400000,-39.400000,-2.000000,3.100000,1.100000
1.694892,eating,73.500000,53.400000,-39.300000,-3.200000,7.200000,1.200000
1.707554,eating,73.600000,53.400000,-39.200000,-3.000000,7.700000,0.900000
1.720490,eating,73.600000,53.400000,-39.100000,-1.400000,3.400000,0.400000
1.733361,eating,73.600000,53.400000,-39.200000,-0.200000,-1.400000,-0.200000
1.776219,eating,73.600000,53.400000,-39.200000,-0.100000,-1.900000,-0.400000
1.788840,eating,73.600000,53.400000,-39.200000,-0.600000,1.300000,-0.200000
1.801465,eating,73.700000,53.400000,-39.100000,-1.000000,3.700000,0.000000
1.814165,eating,73.700000,53.400000,-39.100000,-0.800000,2.600000,0.100000
1.826968,eating,73.800000,53.400000,-39.100000,0.300000,0.200000,0.200000
1.869686,eating,73.800000,53.400000,-39.100000,1.100000,-0.900000,-0.000000
1.882339,eating,73.800000,53.400000,-39.100000,0.800000,-0.500000,-0.100000
1.894919,eating,73.800000,53.400000,-39.100000,0.300000,0.200000,-0.300000
1.907558,eating,73.800000,53.400000,-39.100000,0.300000,0.400000,-0.400000
1.920320,eating,73.900000,53.400000,-39.100000,0.100000,0.400000,-0.400000
1.932965,eating,73.900000,53.400000,-39.100000,-0.100000,0.300000,-0.400000
1.975598,eating,73.900000,53.400000,-39.100000,0.000000,0.700000,-0.700000
1.988207,eating,74.000000,53.400000,-39.000000,-0.400000,1.100000,-0.900000
2.000893,eating,74.000000,53.400000,-39.000000,-0.900000,1.500000,-0.900000
2.013541,eating,74.000000,53.400000,-39.000000,-1.200000,1.400000,-0.700000
2.056556,eating,74.000000,53.400000,-38.900000,-1.200000,0.600000,-0.800000
2.069215,eating,74.100000,53.400000,-38.900000,-0.900000,0.300000,-0.700000
2.081853,eating,74.100000,53.400000,-38.900000,-1.100000,1.200000,-0.600000
2.094431,eating,74.100000,53.400000,-38.800000,-1.600000,1.700000,-0.500000
2.107082,eating,74.100000,53.400000,-38.800000,-1.500000,1.500000,-0.400000
2.119939,eating,74.100000,53.400000,-38.700000,-1.200000,0.300000,-0.300000
2.162553,eating,74.100000,53.400000,-38.800000,-0.600000,-1.100000,-0.400000
2.175243,eating,74.000000,53.400000,-38.800000,-0.200000,-2.600000,-0.800000
2.187808,eating,74.000000,53.400000,-38.900000,0.100000,-3.500000,-1.100000
2.200387,eating,73.900000,53.400000,-39.000000,0.100000,-3.800000,-1.600000
