Time,Label,Roll,Pitch,Yaw,Roll Rate,Pitch Rate,Yaw Rate
1.051132,eating,70.400000,-47.000000,137.300000,5.300000,-6.600000,6.200000
1.071848,eating,70.500000,-47.100000,137.300000,6.100000,-7.900000,7.100000
1.092527,eating,70.700000,-47.300000,137.200000,5.800000,-9.200000,8.300000
1.113165,eating,70.800000,-47.400000,137.100000,4.700000,-10.300000,9.700000
1.133989,eating,70.900000,-47.600000,137.000000,3.600000,-11.300000,10.700000
1.154755,eating,71.000000,-47.800000,136.900000,2.400000,-13.000000,11.400000
1.175411,eating,71.200000,-48.000000,136.800000,2.500000,-15.200000,11.900000
1.196116,eating,71.300000,-48.200000,136.500000,2.400000,-16.500000,13.200000
1.216796,eating,71.500000,-48.400000,136.200000,2.500000,-15.600000,14.200000
1.237617,eating,71.700000,-48.600000,135.800000,3.600000,-14.200000,13.400000
1.258332,eating,71.900000,-48.700000,135.600000,5.700000,-13.600000,10.900000
1.278993,eating,72.200000,-48.800000,135.100000,10.200000,-14.400000,9.100000
1.299636,eating,72.500000,-49.000000,134.800000,10.300000,-12.900000,9.500000
1.320258,eating,72.800000,-49.200000,134.600000,10.800000,-11.600000,10.100000
1.367225,eating,73.200000,-49.300000,134.200000,12.900000,-12.600000,10.000000
1.385827,eating,73.500000,-49.500000,134.000000,12.000000,-12.800000,9.500000
1.402509,eating,74.000000,-49.700000,133.400000,11.800000,-10.700000,8.200000
1.419179,eating,74.100000,-49.800000,133.400000,8.500000,-2.400000,9.700000
1.436001,eating,74.100000,-50.000000,133.600000,6.300000,0.700000,9.500000
1.452659,eating,74.100000,-50.100000,133.700000,6.900000,1.200000,7.300000
1.495463,eating,74.200000,-50.200000,133.800000,8.000000,-1.400000,3.700000
1.508074,eating,74.300000,-50.200000,133.800000,7.200000,-3.100000,1.300000
1.520639,eating,74.400000,-50.300000,133.800000,4.500000,-4.000000,0.700000
1.563608,eating,74.500000,-50.300000,133.800000,1.400000,-3.800000,-0.400000
1.576293,eating,74.500000,-50.300000,133.800000,-1.300000,-3.600000,-2.000000
1.588992,eating,74.500000,-50.300000,133.700000,-3.300000,-3.500000,-2.700000
1.601609,eating,74.500000,-50.300000,133.600000,-4.800000,-3.400000,-2.700000
1.614200,eating,74.500000,-50.200000,133.500000,-5.400000,-3.500000,-3.200000
1.626958,eating,74.500000,-50.200000,133.300000,-5.400000,-3.400000,-3.800000
1.639719,eating,74.600000,-50.100000,133.100000,-5.500000,-3.200000,-4.100000
1.652331,eating,74.600000,-50.100000,132.900000,-5.300000,-3.300000,-3.900000
1.695305,eating,74.700000,-50.000000,132.600000,-4.000000,-4.000000,-2.800000
1.707966,eating,74.800000,-50.000000,132.300000,-2.400000,-4.700000,-1.600000
1.750819,eating,74.900000,-50.000000,132.000000,-0.700000,-5.800000,-0.800000
1.763647,eating,75.100000,-49.900000,131.800000,0.500000,-7.200000,-0.700000
1.776323,eating,75.300000,-50.000000,131.500000,2.000000,-8.400000,-1.000000
1.789052,eating,75.500000,-50.000000,131.200000,3.200000,-9.100000,-1.500000
1.801651,eating,75.700000,-50.000000,131.000000,2.900000,-8.100000,-3.400000
1.814286,eating,75.900000,-49.900000,130.800000,2.900000,-6.300000,-5.900000
1.826891,eating,76.000000,-49.900000,130.700000,-0.100000,-2.800000,-3.700000
1.839657,eating,75.900000,-49.900000,130.700000,-4.400000,0.600000,1.400000
1.882545,eating,75.800000,-49.900000,130.800000,-6.300000,2.000000,3.700000
1.895180,eating,75.700000,-49.900000,130.800000,-5.400000,0.800000,2.400000
1.907804,eating,75.600000,-50.000000,130.800000,-4.800000,-0.100000,1.500000
1.950617,eating,75.500000,-50.000000,130.900000,-5.500000,0.100000,2.400000
1.963320,eating,75.400000,-50.000000,130.900000,-5.800000,0.400000,2.900000
1.975966,eating,75.300000,-50.000000,131.000000,-5.000000,-0.100000,2.400000
1.988628,eating,75.300000,-50.100000,131.100000,-4.000000,-0.800000,2.200000
2.001237,eating,75.200000,-50.100000,131.100000,-3.500000,-0.800000,2.800000
2.013885,eating,75.200000,-50.100000,131.200000,-3.600000,-0.600000,3.300000
2.026480,eating,75.100000,-50.200000,131.200000,-3.100000,-0.500000,3.200000
2.069534,eating,75.100000,-50.200000,131.200000,-2.100000,-0.400000,2.900000
2.082252,eating,75.100000,-50.200000,131.200000,-1.300000,-0.200000,3.000000
2.094927,eating,75.100000,-50.300000,131.200000,-0.300000,-0.200000,3.200000
2.137805,eating,75.100000,-50.300000,131.200000,0.500000,-0.500000,3.300000
2.150548,eating,75.100000,-50.400000,131.100000,0.800000,-0.800000,3.200000
2.163165,eating,75.100000,-50.500000,131.100000,0.900000,-0.800000,3.500000
2.175739,eating,75.100000,-50.500000,131.000000,0.800000,-0.800000,3.900000
2.188393,eating,75.100000,-50.600000,130.900000,0.800000,-0.500000,4.200000
2.201073,eating,75.100000,-50.700000,130.900000,0.400000,-0.000000,4.400000
2.213659,eating,75.100000,-50.700000,130.800000,-0.300000,0.400000,4.400000
2.226234,eating,75.100000,-50.800000,130.800000,-0.700000,0.200000,4.100000
2.269187,eating,75.100000,-50.900000,130.800000,-0.700000,-0.200000,3.800000
2.281812,eating,75.000000,-51.000000,130.700000,-1.100000,0.400000,4.100000
2.294410,eating,75.000000,-51.000000,130.700000,-2.200000,1.400000,5.200000
2.337345,eating,74.900000,-51.100000,130.700000,-2.800000,1.300000,5.400000
2.350162,eating,74.900000,-51.200000,130.600000,-2.400000,1.200000,5.500000
2.362853,eating,74.800000,-51.300000,130.600000,-4.100000,1.900000,6.400000
2.375457,eating,74.800000,-51.400000,130.600000,-4.400000,1.700000,6.600000
2.388081,eating,74.700000,-51.500000,130.700000,-4.300000,1.300000,5.600000
2.400726,eating,74.600000,-51.500000,130.600000,-2.700000,0.300000,1.900000
2.413308,eating,74.600000,-51.500000,130.700000,-1.600000,-0.700000,-1.800000
2.456099,eating,74.700000,-51.500000,130.600000,-0.800000,-1.300000,0.000000
2.468729,eating,74.700000,-51.600000,130.500000,-2.400000,0.700000,2.200000
2.481310,eating,74.800000,-51.600000,130.300000,-1.900000,0.400000,0.600000
2.524177,eating,74.800000,-51.500000,130.200000,1.500000,0.300000,0.700000
2.537031,eating,74.700000,-51.600000,130.200000,-0.600000,1.300000,1.400000
2.549690,eating,74.700000,-51.500000,130.200000,0.800000,2.500000,-0.700000
2.562259,eating,74.800000,-51.600000,130.100000,3.400000,2.800000,0.200000
2.574836,eating,74.800000,-51.600000,130.200000,2.900000,4.700000,2.800000
2.587529,eating,74.700000,-51.600000,130.400000,2.700000,4.600000,1.700000
2.600134,eating,74.700000,-51.600000,130.500000,3.900000,2.700000,0.200000
2.612705,eating,74.800000,-51.700000,130.400000,4.500000,1.900000,1.000000
2.655686,eating,74.800000,-51.700000,130.500000,3.500000,4.000000,3.000000
2.668284,eating,74.700000,-51.800000,130.700000,2.600000,3.800000,2.900000
2.711016,eating,74.700000,-51.800000,130.700000,2.700000,1.700000,2.000000
2.723673,eating,74.700000,-51.800000,130.700000,3.000000,0.600000,1.700000
2.736431,eating,74.700000,-51.900000,130.700000,2.100000,1.000000,2.700000
2.749181,eating,74.700000,-51.900000,130.700000,0.900000,1.000000,3.600000
2.761806,eating,74.700000,-52.000000,130.700000,0.300000,0.500000,3.600000
2.774440,eating,74.700000,-52.000000,130.600000,-0.700000,0.000000,3.600000
2.787071,eating,74.600000,-52.100000,130.600000,-1.700000,-0.700000,3.500000
2.799679,eating,74.600000,-52.200000,130.600000,-1.500000,-2.100000,3.200000
2.842683,eating,74.700000,-52.300000,130.600000,-1.500000,-3.800000,2.900000
2.855334,eating,74.700000,-52.400000,130.400000,-1.200000,-7.000000,2.400000
2.867932,eating,74.900000,-52.500000,130.100000,0.600000,-8.400000,2.500000
2.911010,eating,75.100000,-52.500000,129.800000,1.400000,-6.200000,3.600000
