Time,Label,Roll,Pitch,Yaw,Roll Rate,Pitch Rate,Yaw Rate
1.045912,eating,-71.200000,-53.400000,49.800000,2.700000,4.500000,-7.100000
1.066677,eating,-71.000000,-53.400000,49.700000,3.800000,4.900000,-5.300000
1.087374,eating,-70.900000,-53.400000,49.600000,3.300000,4.200000,-3.300000
1.108030,eating,-70.800000,-53.400000,49.500000,3.700000,3.700000,-2.200000
1.128715,eating,-70.600000,-53.400000,49.400000,6.100000,4.300000,-2.400000
1.149597,eating,-70.500000,-53.400000,49.200000,7.800000,5.300000,-2.700000
1.170260,eating,-70.300000,-53.400000,49.000000,8.900000,6.400000,-3.700000
1.190938,eating,-70.100000,-53.400000,48.800000,8.900000,7.100000,-5.000000
1.211656,eating,-69.900000,-53.400000,48.600000,8.400000,8.000000,-6.600000
1.232357,eating,-69.700000,-53.400000,48.300000,7.400000,9.300000,-7.900000
1.253185,eating,-69.400000,-53.400000,48.000000,7.400000,11.600000,-9.600000
1.273835,eating,-69.100000,-53.400000,47.700000,7.900000,13.500000,-11.200000
1.294501,eating,-68.700000,-53.500000,47.300000,7.600000,14.000000,-11.800000
1.315130,eating,-68.400000,-53.600000,47.000000,7.100000,12.600000,-10.500000
1.335918,eating,-68.100000,-53.600000,46.800000,7.500000,11.700000,-8.600000
1.384673,eating,-67.700000,-53.700000,46.500000,10.100000,12.800000,-7.300000
1.401334,eating,-67.200000,-53.700000,46.200000,13.400000,12.800000,-6.500000
1.418064,eating,-66.900000,-53.700000,46.000000,11.300000,10.600000,-3.800000
1.434790,eating,-66.500000,-53.600000,45.700000,11.900000,12.700000,-3.700000
1.451553,eating,-66.100000,-53.500000,45.400000,12.700000,12.900000,-3.200000
1.494311,eating,-65.700000,-53.500000,45.100000,10.300000,14.100000,-4.300000
1.506966,eating,-65.300000,-53.400000,44.800000,9.100000,11.500000,-4.300000
1.519536,eating,-65.100000,-53.400000,44.700000,1.400000,6.300000,-2.600000
1.532175,eating,-65.000000,-53.400000,44.600000,-0.100000,3.400000,-2.300000
1.575155,eating,-64.900000,-53.300000,44.500000,0.000000,3.900000,-1.900000
1.587867,eating,-64.700000,-53.300000,44.400000,1.900000,5.100000,-1.600000
1.600485,eating,-64.600000,-53.200000,44.300000,1.200000,5.200000,-0.900000
1.613092,eating,-64.500000,-53.200000,44.200000,-0.600000,4.200000,-0.100000
1.625741,eating,-64.500000,-53.100000,44.200000,-2.300000,3.700000,0.900000
1.638570,eating,-64.400000,-53.000000,44.100000,-3.000000,3.800000,1.600000
1.651215,eating,-64.400000,-53.000000,44.100000,-3.500000,3.400000,2.100000
1.694146,eating,-64.400000,-52.900000,44.000000,-3.600000,2.800000,2.700000
1.706851,eating,-64.400000,-52.800000,44.000000,-2.600000,3.000000,3.100000
1.719480,eating,-64.400000,-52.700000,44.000000,-1.500000,3.400000,3.900000
1.762427,eating,-64.300000,-52.600000,44.000000,-1.100000,3.700000,4.800000
1.775196,eating,-64.300000,-52.500000,43.900000,-0.300000,4.000000,4.600000
1.787932,eating,-64.200000,-52.400000,43.900000,0.700000,3.700000,4.000000
1.800529,eating,-64.100000,-52.300000,43.900000,1.700000,3.200000,3.000000
1.813169,eating,-64.100000,-52.300000,43.800000,2.700000,2.400000,2.200000
1.825781,eating,-63.900000,-52.200000,43.800000,3.600000,1.800000,1.700000
1.838459,eating,-63.900000,-52.200000,43.800000,4.800000,1.100000,0.700000
1.881320,eating,-63.900000,-52.100000,43.700000,3.200000,0.700000,1.700000
1.894064,eating,-63.800000,-52.000000,43.700000,1.500000,1.200000,2.500000
1.906696,eating,-63.800000,-52.000000,43.700000,1.000000,1.200000,0.600000
1.919275,eating,-63.900000,-51.900000,43.700000,-3.100000,-1.100000,-0.300000
1.962204,eating,-64.000000,-51.900000,43.800000,-6.200000,-3.300000,-1.600000
1.974828,eating,-64.200000,-52.000000,43.800000,-5.800000,-2.800000,-3.500000
1.987482,eating,-64.200000,-52.000000,43.800000,-3.700000,-1.200000,-4.700000
2.000131,eating,-64.200000,-52.100000,43.800000,-4.200000,-0.700000,-4.500000
2.012746,eating,-64.300000,-52.100000,43.800000,-5.300000,-1.100000,-3.800000
2.025359,eating,-64.400000,-52.100000,43.800000,-5.100000,-0.900000,-3.500000
2.068331,eating,-64.400000,-52.200000,43.800000,-3.900000,-0.100000,-3.800000
