Time,Label,Roll,Pitch,Yaw,Roll Rate,Pitch Rate,Yaw Rate
1.051229,nothing,-46.300000,-60.600000,33.300000,-10.900000,-0.400000,0.400000
1.072261,nothing,-46.500000,-60.600000,33.400000,-14.700000,-0.400000,1.200000
1.093113,nothing,-46.700000,-60.600000,33.400000,-17.000000,-0.100000,2.300000
1.114514,nothing,-46.900000,-60.600000,33.500000,-16.800000,0.300000,3.000000
1.135704,nothing,-47.100000,-60.600000,33.600000,-15.000000,0.700000,3.700000
1.156924,nothing,-47.300000,-60.600000,33.700000,-12.500000,0.300000,4.200000
1.178303,nothing,-47.400000,-60.700000,33.900000,-9.800000,-0.500000,4.400000
1.199030,nothing,-47.600000,-60.700000,34.000000,-6.500000,-1.400000,4.300000
1.219735,nothing,-47.700000,-60.700000,34.200000,-3.300000,-2.900000,4.100000
1.240394,nothing,-47.900000,-60.800000,34.400000,-0.300000,-4.300000,4.100000
1.261258,nothing,-48.000000,-60.900000,34.600000,2.600000,-5.400000,4.300000
1.281930,nothing,-48.100000,-60.900000,34.900000,5.400000,-6.100000,4.400000
1.302606,nothing,-48.300000,-60.900000,35.100000,7.100000,-6.700000,4.900000
1.323272,nothing,-48.400000,-61.000000,35.400000,8.400000,-7.400000,5.500000
1.344365,nothing,-48.600000,-61.000000,35.700000,9.700000,-7.600000,5.600000
1.392122,nothing,-48.700000,-61.000000,35.900000,10.700000,-7.600000,5.100000
1.409023,nothing,-48.800000,-61.000000,36.100000,11.000000,-7.600000,4.200000
1.425987,nothing,-48.900000,-61.000000,36.300000,10.800000,-7.600000,2.800000
1.443107,nothing,-49.000000,-61.100000,36.400000,10.300000,-7.300000,1.100000
1.460057,nothing,-49.100000,-61.100000,36.500000,8.400000,-6.700000,-0.400000
1.503050,nothing,-49.200000,-61.200000,36.600000,5.700000,-6.400000,-2.100000
1.515749,nothing,-49.300000,-61.200000,36.700000,2.900000,-5.800000,-3.500000
1.528309,nothing,-49.400000,-61.300000,36.700000,0.500000,-4.700000,-4.900000
1.540868,nothing,-49.400000,-61.400000,36.700000,-1.400000,-3.100000,-5.700000
1.583844,nothing,-49.400000,-61.500000,36.700000,-2.500000,-1.200000,-5.900000
1.596450,nothing,-49.400000,-61.600000,36.600000,-3.000000,0.900000,-5.800000
1.609105,nothing,-49.300000,-61.700000,36.400000,-3.200000,3.000000,-5.200000
1.621678,nothing,-49.200000,-61.700000,36.300000,-3.300000,5.000000,-4.600000
1.634269,nothing,-49.000000,-61.800000,36.100000,-3.200000,6.400000,-4.000000
1.646982,nothing,-48.900000,-61.800000,35.900000,-2.900000,6.900000,-3.800000
1.659792,nothing,-48.700000,-61.800000,35.700000,-2.600000,6.900000,-3.500000
1.702579,nothing,-48.500000,-61.800000,35.500000,-2.300000,6.600000,-3.200000
1.715266,nothing,-48.300000,-61.800000,35.400000,-1.700000,6.200000,-2.800000
1.727826,nothing,-48.100000,-61.800000,35.200000,-1.100000,5.800000,-2.400000
1.770801,nothing,-47.900000,-61.800000,35.100000,-0.600000,5.100000,-2.000000
1.783396,nothing,-47.800000,-61.700000,34.900000,-0.300000,4.300000,-1.400000
1.796002,nothing,-47.600000,-61.700000,34.800000,0.300000,3.600000,-1.000000
1.808689,nothing,-47.500000,-61.700000,34.700000,0.800000,2.900000,-0.800000
1.821294,nothing,-47.400000,-61.700000,34.700000,0.800000,2.000000,-0.500000
1.833877,nothing,-47.300000,-61.700000,34.600000,0.600000,1.100000,-0.300000
1.846501,nothing,-47.200000,-61.700000,34.600000,0.300000,-0.000000,-0.200000
1.889537,nothing,-47.200000,-61.700000,34.600000,-0.100000,-1.000000,-0.100000
1.902143,nothing,-47.200000,-61.800000,34.700000,-0.400000,-1.800000,-0.000000
1.914757,nothing,-47.200000,-61.800000,34.700000,-0.700000,-2.600000,-0.100000
1.927310,nothing,-47.300000,-61.800000,34.800000,-1.000000,-3.200000,-0.100000
