Time,Label,Roll,Pitch,Yaw,Roll Rate,Pitch Rate,Yaw Rate
1.078072,talking,66.300000,-61.300000,144.000000,23.400000,0.700000,2.700000
1.098866,talking,66.500000,-61.400000,144.100000,20.900000,1.100000,1.300000
1.119973,talking,66.700000,-61.300000,144.100000,18.600000,1.300000,0.500000
1.140778,talking,66.900000,-61.300000,144.200000,16.400000,1.600000,-0.200000
1.161516,talking,67.100000,-61.300000,144.200000,14.400000,1.500000,-0.700000
1.182317,talking,67.200000,-61.200000,144.200000,12.600000,1.400000,-0.900000
1.202988,talking,67.300000,-61.200000,144.200000,10.600000,1.300000,-0.500000
1.223799,talking,67.500000,-61.200000,144.200000,9.100000,0.800000,-0.500000
1.244587,talking,67.600000,-61.100000,144.200000,7.700000,0.200000,-0.800000
1.265326,talking,67.700000,-61.100000,144.100000,6.200000,-0.500000,-1.300000
1.286040,talking,67.800000,-61.100000,144.000000,4.800000,-1.000000,-1.900000
1.306731,talking,67.900000,-61.000000,143.900000,3.300000,-1.300000,-2.400000
1.327610,talking,68.000000,-61.000000,143.700000,1.800000,-1.600000,-2.800000
1.348322,talking,68.100000,-60.900000,143.600000,0.400000,-1.800000,-3.300000
1.395105,talking,68.200000,-60.900000,143.500000,-0.700000,-1.900000,-3.600000
1.411844,talking,68.200000,-60.800000,143.300000,-1.700000,-1.900000,-3.300000
1.428700,talking,68.300000,-60.700000,143.100000,-2.400000,-1.900000,-3.300000
1.445359,talking,68.400000,-60.600000,142.900000,-2.800000,-1.800000,-3.300000
1.462248,talking,68.400000,-60.500000,142.700000,-3.200000,-1.600000,-3.200000
1.504855,talking,68.400000,-60.500000,142.500000,-3.200000,-1.500000,-2.800000
1.517625,talking,68.500000,-60.400000,142.300000,-3.200000,-1.000000,-1.600000
1.530302,talking,68.500000,-60.300000,142.100000,-2.900000,-0.800000,-0.500000
1.542917,talking,68.500000,-60.300000,142.000000,-2.300000,-0.800000,0.200000
1.585472,talking,68.500000,-60.200000,141.800000,-1.700000,-0.700000,0.700000
1.598119,talking,68.500000,-60.200000,141.700000,-1.400000,-0.300000,1.400000
1.611789,talking,68.400000,-60.200000,141.600000,-1.000000,-0.100000,1.900000
1.624650,talking,68.400000,-60.200000,141.500000,-0.500000,0.100000,2.100000
1.637312,talking,68.400000,-60.100000,141.500000,-0.000000,0.100000,2.200000
1.649921,talking,68.400000,-60.100000,141.400000,0.400000,-0.000000,1.900000
1.662522,talking,68.400000,-60.100000,141.400000,0.900000,-0.200000,1.200000
1.705146,talking,68.400000,-60.100000,141.300000,1.100000,-0.300000,0.700000
1.717908,talking,68.400000,-60.100000,141.300000,1.000000,-0.100000,0.300000
1.730594,talking,68.400000,-60.100000,141.200000,0.600000,0.000000,-0.300000
1.743206,talking,68.400000,-60.000000,141.100000,0.300000,0.000000,-0.800000
